
> lumi-island@0.1.0 test:ux
> node tools/ux_bot.mjs

[00:06] タイトル表示
[00:09] ゲーム開始
[00:11] 目標表示: いまやること / WASDか矢印キーで あるいてみよう
[00:12] 目標表示: いまやること / ツムギの はなしを聞こう
[00:12] 進捗表示: → 3m
[00:14] 最初の会話が開いた
[00:16] 目標表示: いまやること / もくざいを あつめよう
[00:16] (1) 最初の依頼を受注できた
[00:16] 進捗表示: 0 / 5　→ 19m
[00:17] 進捗表示: 0 / 5　→ 17m
[00:18] 進捗表示: 0 / 5　→ 16m
[00:20] 進捗表示: 0 / 5　→ 17m
[00:23] 進捗表示: 0 / 5　→ 16m
[00:24] 進捗表示: 0 / 5　→ 15m
[00:26] 進捗表示: 0 / 5　→ 16m
[00:27] 進捗表示: 0 / 5　→ 13m
[00:28] 進捗表示: 0 / 5　→ 10m
[00:28] 進捗表示: 0 / 5　→ 7m
[00:29] 進捗表示: 0 / 5　→ 5m
[00:30] 進捗表示: 0 / 5　→ 2m
[00:31] 進捗表示: 0 / 5
[00:32] 進捗表示: 1 / 5　→ 18m
[00:33] 進捗表示: 1 / 5　→ 16m
[00:34] 進捗表示: 1 / 5　→ 15m
[00:35] 進捗表示: 1 / 5　→ 12m
[00:36] 進捗表示: 1 / 5　→ 10m
[00:36] 進捗表示: 1 / 5　→ 8m
[00:41] 進捗表示: 1 / 5　→ 9m
[00:43] 進捗表示: 1 / 5　→ 7m
[00:50] 進捗表示: 1 / 5　→ 8m
[00:51] 進捗表示: 1 / 5　→ 9m
[00:53] 進捗表示: 1 / 5　→ 7m
[00:59] 進捗表示: 1 / 5　→ 8m
[01:00] 進捗表示: 1 / 5　→ 9m
[01:02] 進捗表示: 1 / 5　→ 7m
[01:08] 進捗表示: 1 / 5　→ 8m
[01:10] 停滞: もくざいを あつめよう / 1 / 5　→ 8m / ヒント: → 逆まわりで回りこむ
[01:11] 進捗表示: 1 / 5　→ 7m
[01:12] 進捗表示: 1 / 5　→ 9m
[01:13] 進捗表示: 1 / 5　→ 7m
